date,Employment,Inflation,Interest Rate
1959-01-01,44376,29.01,2.48
1959-02-01,44571,29,2.43
1959-03-01,44884,28.97,2.8
1959-04-01,45178,28.98,2.96
1959-05-01,45396,29.04,2.9
1959-06-01,45535,29.11,3.39
1959-07-01,45630,29.15,3.47
1959-08-01,45156,29.18,3.5
1959-09-01,45189,29.25,3.76
1959-10-01,45094,29.35,3.98
1959-11-01,45351,29.35,4
1959-12-01,45807,29.41,3.99
1960-01-01,45967,29.37,3.99
1960-02-01,46187,29.41,3.97
1960-03-01,45933,29.41,3.84
1960-04-01,46278,29.54,3.92
1960-05-01,46040,29.57,3.85
1960-06-01,45915,29.61,3.32
1960-07-01,45861,29.55,3.23
1960-08-01,45800,29.61,2.98
1960-09-01,45734,29.61,2.6
1960-10-01,45642,29.75,2.47
1960-11-01,45446,29.78,2.44
1960-12-01,45146,29.81,1.98
1961-01-01,45119,29.84,1.45
1961-02-01,44969,29.84,2.54
1961-03-01,45051,29.84,2.02
1961-04-01,44997,29.81,1.49
1961-05-01,45119,29.84,1.98
1961-06-01,45289,29.84,1.73
1961-07-01,45400,29.92,1.17
1961-08-01,45535,29.94,2
1961-09-01,45591,29.98,1.88
1961-10-01,45716,29.98,2.26
1961-11-01,45931,29.98,2.61
1961-12-01,46035,30.01,2.33
1962-01-01,46040,30.04,2.15
1962-02-01,46309,30.11,2.37
1962-03-01,46375,30.17,2.85
1962-04-01,46679,30.21,2.78
1962-05-01,46668,30.24,2.36
1962-06-01,46644,30.21,2.68
1962-07-01,46720,30.22,2.71
1962-08-01,46775,30.28,2.93
1962-09-01,46888,30.42,2.9
1962-10-01,46927,30.38,2.9
1962-11-01,46910,30.38,2.94
1962-12-01,46901,30.38,2.93
1963-01-01,46912,30.44,2.92
1963-02-01,47000,30.48,3
1963-03-01,47077,30.51,2.98
1963-04-01,47316,30.48,2.9
1963-05-01,47328,30.51,3
1963-06-01,47356,30.61,2.99
1963-07-01,47461,30.69,3.02
1963-08-01,47542,30.75,3.49
1963-09-01,47661,30.72,3.48
1963-10-01,47805,30.75,3.5
1963-11-01,47771,30.78,3.48
1963-12-01,47863,30.88,3.38
1964-01-01,47925,30.94,3.48
1964-02-01,48171,30.91,3.48
1964-03-01,48287,30.94,3.43
1964-04-01,48279,30.95,3.47
1964-05-01,48419,30.98,3.5
1964-06-01,48552,31.01,3.5
1964-07-01,48735,31.02,3.42
1964-08-01,48888,31.05,3.5
1964-09-01,49117,31.08,3.45
1964-10-01,48949,31.12,3.36
1964-11-01,49338,31.21,3.52
1964-12-01,49523,31.25,3.85
1965-01-01,49646,31.28,3.9
1965-02-01,49826,31.28,3.98
1965-03-01,49993,31.31,4.04
1965-04-01,50207,31.38,4.09
1965-05-01,50398,31.48,4.1
1965-06-01,50562,31.61,4.04
1965-07-01,50762,31.58,4.09
1965-08-01,50957,31.55,4.12
1965-09-01,51152,31.62,4.01
